model,dtype,device,use_cache,batch_size,prompt_len,max_new_tokens,total_time_s,tokens_generated,tokens_per_s,p50_latency_s,p95_latency_s,peak_mem_mb
distilgpt2,float16,cuda,1,1,64,128,0.7357084999966901,128,173.9819507326283,0.005456849998154212,0.007176425002398901,183.15576171875
distilgpt2,float16,cuda,0,1,64,128,0.7030219000007492,128,182.07114173806477,0.00511230000120122,0.006976370006304932,179.79833984375
distilgpt2,float16,cuda,1,1,64,128,0.7125234999984968,128,179.64319773350638,0.005263650004053488,0.0070715949936129615,183.15576171875
distilgpt2,float16,cuda,1,2,64,128,0.7116563000017777,256,359.7242095648707,0.005235199998423923,0.00733097499833093,192.6767578125
distilgpt2,float16,cuda,1,4,64,128,0.7927931000012904,512,645.8179315626821,0.006096350000007078,0.0073725899943383405,212.611328125
distilgpt2,float16,cuda,1,1,32,128,0.7430290000047535,128,172.26783880465115,0.0054536500028916635,0.007298375003301771,180.92529296875
distilgpt2,float16,cuda,1,1,128,128,0.7598804000008386,128,168.44756095809123,0.005414649996964727,0.007511685007193591,185.71044921875
distilgpt2,float16,cuda,1,1,256,128,0.6651669999992009,128,192.43287775874896,0.004931400006171316,0.006047870007023447,192.72412109375
